,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,FAF Regions,FAF Region Code,,,,,,,,,,,,,,,,,
,Phoenix Metro Metacommunity,,,,,,,,,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ CFS Area",41,,,,,,,,,,,,,,,,,
,Remainder of Arizona,49,,,,,,,,,,,,,,,,,
,Remainder of Oregon,419,,,,,,,,,,,,,,,,,
,Remainder of Utah,499,,,,,,,,,,,,,,,,,
,Wyoming,560,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Los Angeles Metro Metacommunity,,,,,,,,,,,,,,,,,,
,"Los Angeles-Long Beach, CA CFS Area",61,,,,,,,,,,,,,,,,,
,"Sacramento-Roseville, CA CFS Area",62,,,,,,,,,,,,,,,,,
,"San Diego-Carlsbad, CA CFS Area",63,,,,,,,,,,,,,,,,,
,"San Jose-San Francisco-Oakland, CA CFS Area",64,,,,,,,,,,,,,,,,,
,"Fresno-Madera, CA CFS Area",65,,,,,,,,,,,,,,,,,
,Remainder of California,69,,,,,,,,,,,,,,,,,
,Remainder of Colorado,89,,,,,,,,,,,,,,,,,
,Montana,300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Denver Metro Metacommunity,,,,,,,,,,,,,,,,,,
,"Tucson-Nogales, AZ CFS Area",42,,,,,,,,,,,,,,,,,
,"Denver-Aurora, CO CFS Area",81,,,,,,,,,,,,,,,,,
,"Las Vegas-Henderson, NV-AZ CFS Area (NV Part)",321,,,,,,,,,,,,,,,,,
,Remainder of Nevada,329,,,,,,,,,,,,,,,,,
,New Mexico,350,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Washington Rural Metacommunity,,,,,,,,,,,,,,,,,,
,"Portland-Vancouver-Salem, OR-WA CFS Area (WA Part)",532,,,,,,,,,,,,,,,,,
,Remainder of Washington,539,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Seattle Metro Metacommunity,,,,,,,,,,,,,,,,,,
,Idaho,160,,,,,,,,,,,,,,,,,
,"Portland-Vancouver-Salem, OR-WA CFS Area (OR Part)",411,,,,,,,,,,,,,,,,,
,"El Paso-Las Cruces, TX-NM CFS Area (TX Part)",485,,,,,,,,,,,,,,,,,
,"Salt Lake City-Provo-Orem, UT CFS Area",491,,,,,,,,,,,,,,,,,
,"Seattle-Tacoma, WA CFS Area",531,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
